Movie,Director,Year
The Shawshank Redemption,Frank Darabont,1994
The Godfather,Francis Ford Coppola,1972
The Dark Knight,Christopher Nolan,2008
Pulp Fiction,Quentin Tarantino,1994
Schindler's List,Steven Spielberg,1993
Inception,Christopher Nolan,2010
Fight Club,David Fincher,1999
Forrest Gump,Robert Zemeckis,1994
The Matrix,Lana Wachowski, Lilly Wachowski,1999
The Lord of the Rings: The Return of the King,Peter Jackson,2003
The Silence of the Lambs,Jonathan Demme,1991
Se7en,David Fincher,1995
Saving Private Ryan,Steven Spielberg,1998
Interstellar,Christopher Nolan,2014
Gladiator,Ridley Scott,2000
The Green Mile,Frank Darabont,1999
The Prestige,Christopher Nolan,2006
The Departed,Martin Scorsese,2006
Memento,Christopher Nolan,2000
Braveheart,Mel Gibson,1995

